,A,B,G
392,Nc1[nH+]c(N)nc(N)n1,Cc1ccc(cc1)S(=O)(=O)[O-],O
393,[OH2][Zn+2]([OH2])([OH2])([OH2])([OH2])[OH2],O=S(=O)([O-])c1ccc2c(cccc2S(=O)(=O)[O-])c1,CC[NH+](CC)CC
394,[NH3+]C1CCCCC1,OCC(O)CS(=O)(=O)[O-],O
395,Cc1[nH+]ncc(N=[NH]c2cn[nH]c(C)n2)n1,Cc1ccc(cc1)S(=O)(=O)[O-],O
396,Cc1[nH+]c2nc(N)ccc2c(C)c1,O=S(=O)([O-])c1ccccc1,O
397,Cc1[nH+]c2nc(N)ccc2c(C)c1,Cc1ccc(cc1)S(=O)(=O)[O-],O
398,Cc1[nH+]c2nc(N)ccc2c(C)c1,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],O
399,CN1C=C[NH+]=C1C,O=S(=O)([O-])c1ccccc1,CN1C=CN=C1C
400,CC(C)(NC(=O)OC12CCC(=O)C3Oc4c(O)ccc5CC1[NH+](CCC23c45)CC1CC1)C1=NC(=NO1)c1ccccc1,Cc1ccc(cc1)S(=O)(=O)[O-],CC#N
401,CCC1=C(C)C2=CC3=[NH+]C(=CC4=C(CC)C(=C(N4)C4=C(C)C(=C(N4)C=C4[NH+]=C(C=C1N2)C(=C4C)CC)C)CC)C(=C3C)C,Cc1ccc(cc1)S(=O)(=O)[O-],ClCCl
402,C[NH2+]C,OC(=O)c1cc(cc(c1)S(=O)(=O)[O-])C(O)=O,O
403,CC(C)[NH2+]C(C)C,OC(=O)c1cc(cc(c1)S(=O)(=O)[O-])C(O)=O,O
404,[NH3+]c1c(C)cccc1C,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],O
405,[NH3+]c1ccc(Cc2ccc([NH3+])cc2)cc1,OC(=O)c1cc(ccc1O)S(=O)(=O)[O-],O
406,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1cc(c2ccc(cc2)S(=O)(=O)[O-])c(cc1c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],CC(C)=O
407,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1c(c2ccc(cc2)S(=O)(=O)[O-])c(c2ccc(cc2)S(=O)(=O)[O-])c(c2ccc(cc2)S(=O)(=O)[O-])c(c2ccc(cc2)S(=O)(=O)[O-])c1c1ccc(cc1)S(=O)(=O)[O-],CO
408,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)C(c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],Cc1cc(C)cc(C)c1
409,[nH+]1ccccc1c1ccccn1,OC(=O)c1cc(ccc1O)S(=O)(=O)[O-],O
410,[NH3+]C(C)c1ccccc1,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],O
411,CC1=N([Ag+]N2=C(C)N(CCc3nc(N)nc(N)n3)C=C2)C=CN1CCc1nc(N)nc(N)n1,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],CC#N
412,C(N1C=[NH+]c2ccccc12)c1c2ccccc2c(CN2C=[NH+]c3ccccc23)c2ccccc12,OC(=O)c1cc(cc(c1)S(=O)(=O)[O-])C(O)=O,O
413,CC1=C(Cc2c3ccccc3c(CC3=C(C)N[NH+]=C3C)c3ccccc23)C(=[NH+]N1)C,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],O
414,C(N1C=[NH+]C=C1)c1c2ccccc2c(CN2C=[NH+]C=C2)c2ccccc12,OC(=O)c1cc(cc(c1)S(=O)(=O)[O-])C(O)=O,CO
415,C(N1C=Nc2ccccc12)c1c2ccccc2c(C[N+]2=CNc3ccccc23)c2ccccc12,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],CN(C)C=O
416,[NH3+]CCC,O=S(=O)([O-])c1cccc2cc3c(cccc3S(=O)(=O)[O-])cc12,O
417,CC(C)(C)c1[nH+]c2Nc3c(nc4Nc5c([nH+]c6Nc7c(nc8Nc1c1c2c3c4c5c6c7c81)C(C)(C)C)C(C)(C)C)C(C)(C)C,Cc1ccc(cc1)S(=O)(=O)[O-],Cc1ccccc1
418,[NH3+]C1CCC([NH3+])CC1,O=S(=O)([O-])c1ccc(cc1)C(c1ccc(cc1)S(=O)(=O)[O-])(c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],O
419,[NH3+]c1ccc([NH3+])cc1,O=S(=O)([O-])c1ccc(cc1)C(c1ccc(cc1)S(=O)(=O)[O-])(c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],O
420,[NH3+]c1ccc(cc1)c1ccc([NH3+])cc1,O=S(=O)([O-])c1ccc(cc1)C(c1ccc(cc1)S(=O)(=O)[O-])(c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],O
421,Nc1nc[nH+]c2N=CNc12,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],O
422,[NH3+]c1ccccc1[Se][Se]c1ccccc1[NH3+],Cc1ccc(cc1)S(=O)(=O)[O-],CC#N
423,[nH+]1cc[nH+]cc1,OC(=O)c1cc(ccc1O)S(=O)(=O)[O-],O
424,N[n+]1ccncc1,Cc1cc(C)c(c(C)c1)S(=O)(=O)[O-],O
425,NC(=[NH2+])c1ccc(C=Cc2ccc(cc2)C(N)=[NH2+])cc1,OCCS(=O)(=O)[O-],O
426,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CC1=CC(=C(Nc2ccccc2N(=O)=O)S1)C#N
427,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(CCc2ccc(cc2)S(=O)(=O)[O-])cc1,CC1=CC(=C(Nc2ccccc2N(=O)=O)S1)C#N
428,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(C=Cc2ccc(cc2)S(=O)(=O)[O-])cc1,CC1=CC(=C(Nc2ccccc2N(=O)=O)S1)C#N
429,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(OCCOc2ccc(cc2)S(=O)(=O)[O-])cc1,CC1=CC(=C(Nc2ccccc2N(=O)=O)S1)C#N
430,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],CC1=CC(=C(Nc2ccccc2N(=O)=O)S1)C#N
431,[NH2+]1CCN2CC[NH2+]Cc3cccc(C[NH2+]CCN(CC[NH2+]Cc4cccc(C1)c4)CC[NH2+]Cc1cccc(C[NH2+]CC2)c1)c3,Cc1ccc(cc1)S(=O)(=O)[O-],O
432,[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+],Oc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc1cc(c2)S(=O)(=O)[O-])c5O)S(=O)(=O)[O-])c4O)S(=O)(=O)[O-])c3O)S(=O)(=O)[O-],O
433,N#Cc1ccc(C[N+]2=CNC=N2)cc1,OC(=O)c1cc(ccc1O)S(=O)(=O)[O-],O
434,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
435,NC(N)=[NH2+],O=S(=O)([O-])c1cccc2ccccc12,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
436,NC(N)=[NH2+],O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
437,[NH3+]c1ccc(cc1C)c1ccc([NH3+])c(C)c1,Cc1ccc(cc1)S(=O)(=O)[O-],CO
438,Nc1[nH+]c(N)cc(N)[nH+]1,O=S(=O)([O-])c1ccccc1,O
439,[NH3+]c1c(C)cc(C)c(c1C)c1c(C)cc(C)c([NH3+])c1C,CC1(C)C2CCC1(CS(=O)(=O)[O-])C(=O)C2,O
440,[NH3+]c1c(C)cc(C)c(c1C)c1c(C)cc(C)c([NH3+])c1C,CC1(C)C2CCC1(CS(=O)(=O)[O-])C(=O)C2,O
441,C1C(NC2=[NH+]C(CN12)C(c1ccccc1)(c1ccccc1)c1ccccc1)C(c1ccccc1)(c1ccccc1)c1ccccc1,CC1(C)C2CCC1(CS(=O)(=O)[O-])C(=O)C2,CC(C)O
442,[nH+]1cccc2ccc3cccnc3c12,Oc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc6cc(cc(Cc7cc(cc(Cc1cc(c2)S(O)(=O)=O)c7O)S(=O)(=O)[O-])c6O)S(=O)(=O)[O-])c5O)S(O)(=O)=O)c4O)S(=O)(=O)[O-])c3O)S(=O)(=O)[O-],O
443,[NH2+]1CCC[NH2+]CCN2CC[NH2+]CCC[NH2+]CCN(CC1)CC[NH2+]CCC[NH2+]CC2,Cc1ccc(cc1)S(=O)(=O)[O-],O
444,[NH3+]CCCCC,O=S(=O)([O-])c1ccc(cc1)C#Cc1ccc(cc1)C#Cc1ccc(cc1)S(=O)(=O)[O-],C1COCCO1
445,N1C(=[NH+]c2ccccc12)c1cccc(n1)C1=[NH+]c2ccccc2N1,Cc1cc(C)c(c(C)c1)S(=O)(=O)[O-],[Cl-]
446,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],O
447,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CO
448,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CCO
449,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CCCO
450,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CCCCO
451,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CCCCCO
452,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CN(C)C=O
453,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CS(C)=O
454,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],C1COCCO1
455,NC(N)=[NH2+],O=S(=O)([O-])CCCCS(=O)(=O)[O-],CC#N
456,NC(N)=[NH2+],O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],N#CCCCCC#N
457,NC(N)=[NH2+],O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],CCCCCC#N
458,NC(N)=[NH2+],O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],CCCCCCCC#N
459,NC(N)=[NH2+],O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],CO
460,NC(N)=[NH2+],O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],CCC#N
461,NC(N)=[NH2+],O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],COCCOCCOCCOC
462,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],N#Cc1ccccc1
463,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CO
464,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CO
465,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CO
466,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CO
467,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Cc1ccccc1
468,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Cc1cccc(C)c1
469,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Cc1cccc(C)c1
470,C#Cc1ccc(cc1)C1=C2[NH+]=C(C=C2)C(=C2NC(=C(C3=[NH+]C(=C(C4=CC=C1N4)c1ccccc1)C=C3)c1ccc(cc1)C#C)C=C2)c1ccccc1,COS(=O)(=O)[O-],O
471,CCC1=C(C)C2=C3C=C(C4=[NH+]C(=CC5=C(CC)C(=C(N5)C5=CC(=C6[NH+]=C(C=C1N2)C(=C6C)CC)c1ccccc51)C)C(=C4C)CC)c1ccccc31,COS(=O)(=O)[O-],ClC(Cl)Cl
472,N1C2=CC=C1C(=C1C=CC(=N1)C(=C1[NH+]=C(C=C1)C(=C1C=CC(=N1)C(=C1NC(=C(c3ccccc3)C3=NC(=C2c2ccccc2)C=C3)C=C1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,CS(=O)(=O)[O-],CS(O)(=O)=O
473,CC(C)NC(=[NH+]C(C)C)c1ccc(cc1)C(NC(C)C)=[NH+]C(C)C,O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],O
474,NC(=[NH2+])c1ccc(cc1)C(N)=[NH2+],O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],O
475,NC(=[NH2+])c1ccc(cc1)C(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],O
476,C[NH+](C)CC[NH+](C)C,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],O
477,Nc1[nH+]cccc1,OC(=O)c1cc(cc(c1)S(=O)(=O)[O-])C(O)=O,O
478,Nc1c[nH+]ccc1,OC(=O)c1cc(cc(c1)S(=O)(=O)[O-])C(O)=O,O
479,Nc1cc[nH+]cc1,OC(=O)c1cc(cc(c1)S(=O)(=O)[O-])C(O)=O,O
480,Nc1[nH+]c(N)ccc1,OC(=O)c1cc(cc(c1)S(=O)(=O)[O-])C(O)=O,O
481,[nH+]1ccc(cc1)c1cc[nH+]cc1,OC(=O)c1cc(ccc1C(=O)[O-])S(=O)(=O)[O-],c1ccc2cc3ccccc3cc2c1
482,[NH3+]c1c2cccc1c1cc(C)c(CC=CCc3c(C)cc(cc3C)c3cccc(c3[NH3+])c3cc(C)c(CC=CCc4c(C)cc2cc4C)c(C)c3)c(C)c1,Cc1ccc(cc1)S(=O)(=O)[O-],O
483,Nc1[nH+]cnc2NC=Nc12,OC(=O)c1cc(ccc1O)S(=O)(=O)[O-],O
484,[NH3+]c1ncnc2NC=Nc12,OC(=O)c1cc(ccc1O)S(=O)(=O)[O-],O
485,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc2cc3ccccc3cc2c1,CN(C)c1ccccc1
486,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc2cc3ccccc3cc2c1,Cc1cc(C)cc(C)c1
487,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc2cc3ccccc3cc2c1,c1ccccc1
488,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc2cc3ccccc3cc2c1,c1ccccc1
489,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc2cc3ccccc3cc2c1,Cc1ccc(C)cc1
490,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc2cc3ccccc3cc2c1,c1ccccc1
491,[nH+]1cccc2ccc3cccnc3c12,Oc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc6cc(cc(Cc7cc(cc(Cc8cc(cc(Cc9cc(cc(Cc1cc(c2)S(=O)(=O)[O-])c9O)S(=O)(=O)[O-])c8O)S(=O)(=O)[O-])c7O)S(=O)(=O)[O-])c6O)S(=O)(=O)[O-])c5O)S(=O)(=O)[O-])c4O)S(=O)(=O)[O-])c3O)S(=O)(=O)[O-],O
492,[NH3+]C1CCCCC1[NH3+],CCOS(=O)(=O)[O-],OS(=O)(=O)[O-]
493,NC(N)=[NH2+],Cc1c(C)c(c(C)c(c1C)S(=O)(=O)[O-])S(=O)(=O)[O-],Cc1cc(C)cc(C)c1
494,NC(N)=[NH2+],Cc1c(C)c(c(C)c(c1C)S(=O)(=O)[O-])S(=O)(=O)[O-],Cc1cc(C)cc(C)c1
495,NC(N)=[NH2+],Cc1cc(C)c(c(C)c1S(=O)(=O)[O-])S(=O)(=O)[O-],O=N(=O)c1ccccc1
496,NC(N)=[NH2+],Cc1cc(C)c(c(C)c1S(=O)(=O)[O-])S(=O)(=O)[O-],CN(C)c1cccc(c1)N(=O)=O
497,NC(N)=[NH2+],Cc1cc(C)c(c(C)c1S(=O)(=O)[O-])S(=O)(=O)[O-],Cc1cc(C)cc(C)c1
498,NC(N)=[NH2+],Cc1cc(C)c(c(C)c1S(=O)(=O)[O-])S(=O)(=O)[O-],Cc1cc(C)cc(C)c1
499,NC(N)=[NH2+],Cc1cc(C)c(c(C)c1S(=O)(=O)[O-])S(=O)(=O)[O-],COc1ccc(cc1)N(=O)=O
500,NC(N)=[NH2+],Cc1c(C)c(c(C)c(c1C)S(=O)(=O)[O-])S(=O)(=O)[O-],O=N(=O)c1ccccc1
501,NC(N)=[NH2+],Cc1c(C)c(c(C)c(c1C)S(=O)(=O)[O-])S(=O)(=O)[O-],CN(C)c1cccc(c1)N(=O)=O
502,NC(N)=[NH2+],Cc1c(C)c(c(C)c(c1C)S(=O)(=O)[O-])S(=O)(=O)[O-],COc1ccc(cc1)N(=O)=O
503,NC(N)=[NH2+],Cc1c(C)c(c(C)c(c1C)S(=O)(=O)[O-])S(=O)(=O)[O-],CN(C)c1ccc(cc1)N(=O)=O
504,CN(C)C(=[NH2+])NC(N)=[NH2+],Oc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc1cc(c2)S(=O)(=O)[O-])c5O)S(=O)(=O)[O-])c4O)S(=O)(=O)[O-])c3O)S(=O)(=O)[O-],O
505,NC(=[NH2+])NC(=[NH2+])NCCc1ccccc1,Oc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc1cc(c2)S(=O)(=O)[O-])c5O)S(=O)(=O)[O-])c4O)S(=O)(=O)[O-])c3O)S(=O)(=O)[O-],O
506,CN(C)C(=[NH2+])NC(N)=[NH2+],Oc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc6cc(cc(Cc1cc(c2)S(=O)(=O)[O-])c6O)S(=O)(=O)[O-])c5O)S(=O)(=O)[O-])c4O)S(=O)(=O)[O-])c3O)S(=O)(=O)[O-],O
507,Cc1[nH+]c2ccccc2cc1,OC(=O)c1cc(ccc1O)S(=O)(=O)[O-],O
508,NC(N)=[NH2+],Cc1cc(ccc1c1ccc(cc1C)S(=O)(=O)[O-])S(=O)(=O)[O-],CC#N
509,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(c2ccccc12)c1ccc(c2ccccc12)S(=O)(=O)[O-],CO
510,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(c2ccccc12)c1ccc(c2ccccc12)S(=O)(=O)[O-],O=N(=O)c1ccccc1
511,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(c2ccccc12)c1ccc(c2ccccc12)S(=O)(=O)[O-],CC1(C)C2CC=C(CO)C1C2
512,C(C[n+]1ccc(cc1)c1cc[nH+]cc1)[n+]1ccc(cc1)c1cc[nH+]cc1,Oc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc6cc(cc(Cc1cc(c2)S(O)(=O)=O)c6O)S(=O)(=O)[O-])c5O)S(=O)(=O)[O-])c4O)S(=O)(=O)[O-])c3O)S(=O)(=O)[O-],O
513,[NH3+]C1CCCCC1[NH3+],Oc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc6cc(cc(Cc7cc(cc(Cc8cc(cc(Cc9cc(cc(Cc1cc(c2)S(=O)(=O)[O-])c9O)S(=O)(=O)[O-])c8O)S(=O)(=O)[O-])c7O)S(=O)(=O)[O-])c6O)S(=O)(=O)[O-])c5O)S(=O)(=O)[O-])c4O)S(=O)(=O)[O-])c3O)S(=O)(=O)[O-],O
514,CCNC(N)=[NH2+],O=S(=O)([O-])c1cccc2ccccc12,O
515,CN(C)C(N)=[NH2+],O=S(=O)([O-])c1cccc2ccccc12,O
516,Nc1[nH+]cccn1,OC(=O)c1cc(ccc1O)S(=O)(=O)[O-],O
517,Nc1[nH+]c(N)nc(N)n1,O=S(=O)([O-])c1cccc(c1)S(=O)(=O)[O-],O
518,Nc1[nH+]c(N)nc(N)n1,O=S(=O)([O-])CCS(=O)(=O)[O-],O
519,N1C2=[NH+]c3ccccc3NC2=Nc2ccccc12,O=S(=O)([O-])c1ccc(cc1)S(=O)(=O)[O-],CS(C)=O
520,C[n+]1ccc(cc1)c1cc[n+](C)cc1,Cc1ccc(cc1)S(=O)(=O)[O-],CCCOc1c2Cc3cccc(Cc4cccc(Cc5cc(CNC(=O)Nc6ccccc6)cc(Cc1ccc2)c5O)c4OCCC)c3O
521,NC(N)=[NH2+],O=C1c2ccc(cc2C(=O)c2ccc(cc12)S(=O)(=O)[O-])S(=O)(=O)[O-],CCNc1cc2OC(=O)C=C(C)c2cc1C
522,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(CCc2ccc(cc2)S(=O)(=O)[O-])cc1,CCN(CC)c1ccc2C(=CC(=O)Oc2c1)C
523,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(C=Cc2ccc(cc2)S(=O)(=O)[O-])cc1,CCN(CC)c1ccc2C(=CC(=O)Oc2c1)C
524,NC(N)=[NH2+],O=S(=O)([O-])CCCCCCCCS(=O)(=O)[O-],CCN(CC)c1ccc2C(=CC(=O)Oc2c1)C
525,NC(N)=[NH2+],O=S(=O)([O-])CCCCCCCCS(=O)(=O)[O-],CC1=CC(=O)Oc2c3CCCN4CCCc(cc12)c34
526,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],CCN(CC)c1ccc2C(=CC(=O)Oc2c1)C
527,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],CC1=CC(=O)Oc2c3CCCN4CCCc(cc12)c34
528,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CCN(CC)c1ccc2C(=CC(=O)Oc2c1)C
529,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CC1=CC(=O)Oc2c3CCCN4CCCc(cc12)c34
530,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(CCc2ccc(cc2)S(=O)(=O)[O-])cc1,CCOC(=O)C1=Cc2cc3CCCN4CCCc(c2OC1=O)c34
531,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(CCc2ccc(cc2)S(=O)(=O)[O-])cc1,CC(=O)C1=Cc2cc3CCCN4CCCc(c2OC1=O)c34
532,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],CCN(CC)c1ccc2C(=CC(=O)Oc2c1)C
533,NC(N)=[NH2+],Oc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc1cc(c2)S(=O)(=O)[O-])c5O)S(=O)(=O)[O-])c4O)S(=O)(=O)[O-])c3O)S(=O)(=O)[O-],O
534,CC([NH2+]OC(C)(C)C)c1cccc2ccccc12,CC1(C)C2CCC1(CS(=O)(=O)[O-])C(=O)C2,CC#N
535,[NH3+]c1ccccc1C1=C2[NH+]=C(C(=C2CC)CC)C(=C2NC(=C(C3=[NH+]C(=C(C4=C(CC)C(=C1N4)CC)c1ccccc1[NH3+])C(=C3CC)CC)c1ccccc1[NH3+])C(=C2CC)CC)c1ccccc1[NH3+],O=S(=O)([O-])c1ccccc1,O
536,[NH3+]CC[NH3+],OC(=O)c1cc(ccc1O)S(=O)(=O)[O-],O
537,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],COc1cc(C=CC)ccc1O
538,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],COc1ccc(C=O)cc1
539,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],COc1ccc(C=O)cc1
540,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],COc1ccc(C=CC)cc1
541,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],COc1ccc(C=CC)cc1
542,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],COc1ccc(C=CC)cc1OC
543,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],COc1cc(CC=C)ccc1OC(C)=O
544,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],COc1cc(CC=C)ccc1OC(C)=O
545,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CC(C)C1CCC(C)CC1OC(C)=O
546,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CC(C)C1CCC(C)CC1OC(C)=O
547,[NH3+]C,Oc1ccc2C(=O)C(=COc2c1)c1ccc(O)c(c1)S(=O)(=O)[O-],O
548,C1C[NH+](CC[NH+]1CC=Cc1ccccc1)C(c1ccccc1)c1ccccc1,Cc1ccc(cc1)S(=O)(=O)[O-],O
549,[NH2+]1CCCCC1,OC(=O)c1cc(ccc1O)S(=O)(=O)[O-],O
550,N1C(=Nc2ccccc12)C=Cc1cc[nH+]cc1,OC(=O)c1cc(cc(c1)S(=O)(=O)[O-])C(O)=O,O
551,C(Cc1cc[nH+]cc1)Cc1cc[nH+]cc1,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],O
552,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Cc1ccc(C)cc1
553,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Clc1ccc(Cl)cc1
554,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Cc1ccccc1C
555,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Clc1ccccc1Cl
556,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Brc1ccccc1Br
