,A,B,G
263,CCC1=C(CC)C2=CC3=[NH+]C(=CC4=C(CC)C(=C(N4)C=C4[NH+]=C(C=C1N2)C(=C4CC)CC)CC)C(=C3CC)CC,COS(=O)(=O)[O-],ClC(Cl)Cl
264,NC(N)=[NH2+],Cc1cccc(c1)S(=O)(=O)[O-],Cc1ccc(C)cc1
265,NC(N)=[NH2+],COc1ccc(cc1)S(=O)(=O)[O-],Cc1ccccc1C
266,NC(N)=[NH2+],CCc1ccc(cc1)S(=O)(=O)[O-],Cc1ccccc1C
267,NC(N)=[NH2+],CC(C)c1ccc(cc1)S(=O)(=O)[O-],Cc1ccc(C)c(C)c1
268,NC(N)=[NH2+],CC(C)c1ccc(cc1)S(=O)(=O)[O-],Cc1ccc(C)cc1
269,NC(N)=[NH2+],Cc1ccc(cc1)S(=O)(=O)[O-],COc1ccc(C)c(C)c1
270,NC(N)=[NH2+],Cc1ccc(cc1)S(=O)(=O)[O-],CC(C)(C)c1ccccc1
271,NC(N)=[NH2+],CC(C)(C)c1ccc(cc1)S(=O)(=O)[O-],c1ccccc1
272,NC(N)=[NH2+],CC(C)(C)c1ccc(cc1)S(=O)(=O)[O-],CC(C)(C)c1ccc(cc1)C(C)(C)C
273,NC(N)=[NH2+],CC(C)(C)c1ccc(cc1)S(=O)(=O)[O-],O
274,Cc1ccc(cc1)C1=C2NC(=C(C3=[NH+]C(=C(C4=CC=C(N4)C(=C4[NH+]=C1C=C4)c1ccc(C)cc1)c1ccc(C)cc1)C=C3)c1ccc(C)cc1)C=C2,CS(=O)(=O)[O-],ClC(Cl)Cl
275,Nc1c[nH+]ccc1,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],O
276,[nH+]1ccccc1,CC(C)c1cc(C(C)C)c(c(c1)C(C)C)S(=O)(=O)[O-],c1ccncc1
277,[NH3+]CCCCCCCCCCCC[NH3+],O=S(=O)([O-])c1cc(c2ccc3c4c(ccc1c24)c(cc3S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-],O
278,[nH+]1ccc(cc1)c1cc[nH+]cc1,OC(=O)c1ccccc1S(=O)(=O)[O-],O
279,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],c1ccc2ccccc2c1
