,A,B,G,cryst
1176,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],O=N(=O)c1cccc2ccccc12,1
1177,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],O=N(=O)c1cccc2ccccc12,1
1178,[NH3+]Cc1ccccc1,O=S(=O)([O-])c1ccc(cc1)C#Cc1ccc(cc1)C#Cc1ccc(cc1)S(=O)(=O)[O-],O=C=O,1
1179,[NH3+]C(C)CC,O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],c1ccccc1,1
1180,[NH3+]C(C)CC,O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],c1ccccc1,1
1181,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(C=Cc2ccc(cc2)S(=O)(=O)[O-])cc1,Cc1ccccc1Cl,1
1182,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(C=Cc2ccc(cc2)S(=O)(=O)[O-])cc1,Cc1ccccc1Cl,1
1183,CC[N+](CC)(CC)CC,FC(F)(F)c1cc2COc3cccc(OCc4cc(NC(=S)Nc5cc(COc6cccc(OCc7cc(NC(=S)Nc(c2)c1)cc(c7)C(F)(F)F)c6)cc(c5)C(F)(F)F)cc(c4)C(F)(F)F)c3,O=S(=O)([O-])CCS(=O)(=O)[O-],1
1184,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)S(=O)(=O)[O-],c1ccccc1,1
1185,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)S(=O)(=O)[O-],Cc1ccc(C)cc1,1
1186,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)S(=O)(=O)[O-],Cc1ccccc1C,1
1187,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)S(=O)(=O)[O-],c1ccc2ccccc2c1,1
1188,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],c1ccccc1,1
1189,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],Cc1ccc(C)cc1,1
1190,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],Cc1ccccc1C,1
1191,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],Cc1cccc2ccccc12,1
1192,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],c1cc2ccc3cccc4ccc(c1)c2c34,1
1193,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,1
1194,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],Cc1ccc(C)cc1,1
1195,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],Cc1ccccc1C,1
1196,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],c1ccc2ccccc2c1,1
1197,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],c1cc2ccc3cccc4ccc(c1)c2c34,1
1198,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],c1ccc(cc1)c1ccccc1,1
1199,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,1
1200,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(Oc2ccc(cc2)S(=O)(=O)[O-])cc1,Cc1ccccc1,1
1201,Cc1cc(C)c(c(C)c1)C1=C2CN(C=C2)C2=[NH+]C(=C(C3=CC=C(N3)C3=[NH+]C(=C(C4=CC=C1N4)c1c(C)cc(C)cc1C)C=C3)c1c(C)cc(C)cc1C)C=C2,CS(=O)(=O)[O-],ClCCl,1
1202,Cc1cc(C)c(c(C)c1)C1=C2CN(C=C2)C2=[NH+]C(=C(C3=CC=C(N3)N3C=CC(=C3)C(=C3[NH+]=C1C=C3)c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C)C=C2,CS(=O)(=O)[O-],ClCCl,1
